Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
188,Exit long,2025-06-03 14:00,Exit Long Add,42512.3,181.87,7727983.666,3728.34,0.05,14622.35,0.19,-4292.13,-0.06,169375.47,84.69
188,Entry long,2025-06-03 12:30,Long Add,42491.8,181.87,7727983.666,3728.34,0.05,14622.35,0.19,-4292.13,-0.06,169375.47,84.69
189,Exit long,2025-06-27 12:15,Exit Long,43985.2,78.6,3433609.56,23627.16,0.69,23627.16,0.69,-15.72,0.00,193002.62,96.50
189,Entry long,2025-06-27 09:45,Long,43684.6,78.6,3433609.56,23627.16,0.69,23627.16,0.69,-15.72,0.00,193002.62,96.50
190,Exit long,2025-06-27 12:15,Exit Long Add,43985.2,275.13,12058287.59,43360.49,0.36,43360.49,0.36,-330.16,0.00,236363.12,118.18
190,Entry long,2025-06-27 11:15,Long Add,43827.6,275.13,12058287.59,43360.49,0.36,43360.49,0.36,-330.16,0.00,236363.12,118.18
191,Exit long,2025-06-27 13:00,Exit Long,43937.6,70.84,3116931.664,-4392.08,-0.14,1374.3,0.04,-4392.08,-0.14,231971.03,115.99
191,Entry long,2025-06-27 12:15,Long,43999.6,70.84,3116931.664,-4392.08,-0.14,1374.3,0.04,-4392.08,-0.14,231971.03,115.99
192,Exit long,2025-07-01 11:15,Exit Long,44585.5,77.47,3426405.136,27633.55,0.81,27633.55,0.81,-1797.3,-0.05,259604.6,129.80
192,Entry long,2025-07-01 09:45,Long,44228.8,77.47,3426405.136,27633.55,0.81,27633.55,0.81,-1797.3,-0.05,259604.6,129.80
193,Exit long,2025-07-01 12:30,Exit Long,44579.1,54.93,2448460.806,269.16,0.01,4800.88,0.20,-3196.93,-0.13,259873.75,129.94
193,Entry long,2025-07-01 11:15,Long,44574.2,54.93,2448460.806,269.16,0.01,4800.88,0.20,-3196.93,-0.13,259873.75,129.94
194,Exit long,2025-08-12 11:15,Exit Long,44427.3,44.45,1974629.02,164.47,0.01,3369.31,0.17,-3653.79,-0.19,260038.2,130.02
194,Entry long,2025-08-12 10:00,Long,44423.6,44.45,1974629.02,164.47,0.01,3369.31,0.17,-3653.79,-0.19,260038.2,130.02
195,Exit long,2025-08-19 10:45,Exit Long,45114.2,69.53,3141421.024,-4630.7,-0.15,2350.11,0.07,-4630.7,-0.15,255407.52,127.70
195,Entry long,2025-08-19 10:15,Long,45180.8,69.53,3141421.024,-4630.7,-0.15,2350.11,0.07,-4630.7,-0.15,255407.52,127.70
196,Exit long,2025-08-22 12:15,Exit Long,45676.8,42.16,1925388.176,345.71,0.02,4055.79,0.21,-2850.02,-0.15,255753.22,127.88
196,Entry long,2025-08-22 10:45,Long,45668.6,42.16,1925388.176,345.71,0.02,4055.79,0.21,-2850.02,-0.15,255753.22,127.88
197,Exit long,2025-09-09 11:45,Exit Long,45576.2,61.42,2803872.136,-4581.93,-0.16,2383.1,0.08,-4581.93,-0.16,251171.3,125.59
197,Entry long,2025-09-09 11:15,Long,45650.8,61.42,2803872.136,-4581.93,-0.16,2383.1,0.08,-4581.93,-0.16,251171.3,125.59
198,Exit long,2025-09-23 10:15,Exit Long,46703,89.27,4173729.58,-4552.77,-0.11,2428.14,0.06,-4659.89,-0.11,246618.52,123.31
198,Entry long,2025-09-23 09:45,Long,46754,89.27,4173729.58,-4552.77,-0.11,2428.14,0.06,-4659.89,-0.11,246618.52,123.31
199,Exit long,2025-10-03 10:45,Exit Long,46990.3,79.8,3734703.84,15122.1,0.40,19981.92,0.54,-2968.56,-0.08,261740.62,130.87
199,Entry long,2025-10-03 09:45,Long,46800.8,79.8,3734703.84,15122.1,0.40,19981.92,0.54,-2968.56,-0.08,261740.62,130.87
200,Exit long,2025-10-03 12:45,Exit Long,47080.9,58.99,2777143.018,159.27,0.01,1403.96,0.05,-1486.55,-0.05,261899.89,130.95
200,Entry long,2025-10-03 12:00,Long,47078.2,58.99,2777143.018,159.27,0.01,1403.96,0.05,-1486.55,-0.05,261899.89,130.95
201,Exit long,2025-10-14 15:30,Exit Long,46441.2,31.24,1435577.968,15245.12,1.06,19268.83,1.34,-768.5,-0.05,277145,138.57
201,Entry long,2025-10-14 10:15,Long,45953.2,31.24,1435577.968,15245.12,1.06,19268.83,1.34,-768.5,-0.05,277145,138.57
202,Exit long,2025-10-14 15:30,Exit Long Add,46441.2,109.36,5061530.752,17278.88,0.34,31364.45,0.62,-7458.35,-0.15,294423.9,147.21
202,Entry long,2025-10-14 11:45,Long Add,46283.2,109.36,5061530.752,17278.88,0.34,31364.45,0.62,-7458.35,-0.15,294423.9,147.21
203,Exit long,2025-10-21 11:15,Exit Long,47122.3,67.93,3192248.076,8769.76,0.27,12662.15,0.40,-1535.22,-0.05,303193.66,151.60
203,Entry long,2025-10-21 10:30,Long,46993.2,67.93,3192248.076,8769.76,0.27,12662.15,0.40,-1535.22,-0.05,303193.66,151.60
204,Exit long,2025-10-24 10:30,Exit Long,47095.1,65.1,3070949.28,-5058.27,-0.16,2356.62,0.08,-5058.27,-0.16,298135.38,149.07
204,Entry long,2025-10-24 09:45,Long,47172.8,65.1,3070949.28,-5058.27,-0.16,2356.62,0.08,-5058.27,-0.16,298135.38,149.07
205,Exit long,2025-11-04 10:45,Exit Long,47225.9,62.39,2943547.722,2876.18,0.10,8073.27,0.27,-12.48,0.00,301011.56,150.51
205,Entry long,2025-11-04 09:45,Long,47179.8,62.39,2943547.722,2876.18,0.10,8073.27,0.27,-12.48,0.00,301011.56,150.51
206,Exit long,2025-11-11 14:00,Exit Long,47894.3,66.51,3172926.06,12523.83,0.39,17013.26,0.54,-478.87,-0.02,313535.4,156.77
206,Entry long,2025-11-11 11:45,Long,47706,66.51,3172926.06,12523.83,0.39,17013.26,0.54,-478.87,-0.02,313535.4,156.77
207,Exit long,2025-11-11 14:00,Exit Long Add,47894.3,232.79,11161349.34,-12035.24,-0.11,2281.34,0.02,-12035.24,-0.11,301500.16,150.75
207,Entry long,2025-11-11 13:15,Long Add,47946,232.79,11161349.34,-12035.24,-0.11,2281.34,0.02,-12035.24,-0.11,301500.16,150.75
