utc_window,ret_XAUUSD,ret_US30USD,ret_USDJPY,sigma_threshold,feed,panel_window,canonical_status,threshold_sigma,long_only_universe
2025-03-07 15:30:00+00:00,-0.0036030521040743605,-0.004863440400057415,-0.002095761429861877,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-03-10 08:30:00+00:00,-0.0011164118858301955,-0.002625393403663408,-0.001221946304952087,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-03-10 17:30:00+00:00,-0.0030373604562376594,-0.00225785770650573,-0.0006999589144884211,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-03-11 14:15:00+00:00,-0.0010197026265590396,-0.0016395106358882095,-0.0014769750447479462,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-03-12 17:45:00+00:00,-0.0011402762065162119,-0.003848303554936845,-0.001153733399689022,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-03-18 13:30:00+00:00,-0.00251997309930179,-0.0033815009138658267,-0.0012084674299879445,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-03-20 10:00:00+00:00,-0.0022546959048218933,-0.0022988926608053235,-0.0010762381139187234,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-03-26 13:45:00+00:00,-0.0018132431293691959,-0.0015180286295992955,-0.0008639653887935774,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-03-27 13:30:00+00:00,-0.001708978968175121,-0.004975375704678712,-0.0011545889552933622,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-03-27 16:45:00+00:00,-0.0010000148376531745,-0.003070312513257984,-0.0008472557365629091,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-03-28 14:00:00+00:00,-0.0009020205220991156,-0.002514658250666719,-0.0020760424261658285,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-03-28 14:15:00+00:00,-0.0013984414775353013,-0.0017420567829580392,-0.0010529754190150417,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-04-01 14:00:00+00:00,-0.0026966035641818585,-0.0053399891934322085,-0.003276176306253019,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-04-02 18:15:00+00:00,-0.001417668549503453,-0.003185336844358913,-0.0008795661374387047,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-04-03 05:15:00+00:00,-0.0016229223338815968,-0.00159471554840438,-0.001974843451802279,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-04-03 11:15:00+00:00,-0.0019319245128016176,-0.001521812735793934,-0.0008732195064498608,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-04-03 12:15:00+00:00,-0.003749059225805414,-0.0010948852924171487,-0.000718186916776977,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-04-03 12:30:00+00:00,-0.004244141798985428,-0.0013154466985166751,-0.0011159225489249882,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-04-04 14:00:00+00:00,-0.004264559290527906,-0.006768893111417757,-0.001737763119372575,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
