exit_date_ny,guardian_R,guardian_pnl_usd,guardian_n_trades,striker_R,striker_pnl_usd,striker_n_trades,aegis_R,aegis_pnl_usd,aegis_n_trades,portfolio_R
2025-03-04,-0.8823529411764705,-1506.02,1,0.0,0.0,0,0.0,0.0,0,-0.8823529411764705
2025-03-06,-0.7352941176470588,-1496.82,1,0.0,0.0,0,0.0,0.0,0,-0.7352941176470588
2025-03-10,0.0,0.0,0,0.0,0.0,0,0.19333333333333333,6969.67,1,0.19333333333333333
2025-03-12,0.0,0.0,0,0.0,0.0,0,-0.03333333333333333,-1109.38,1,-0.03333333333333333
2025-03-14,0.0,0.0,0,0.06,799.69,1,0.0,0.0,0,0.06
2025-03-17,9.911764705882353,27851.49,1,0.0,0.0,0,0.0,0.0,0,9.911764705882353
2025-03-18,0.0,0.0,0,0.0,0.0,0,0.0,134.72,1,0.0
2025-03-21,-0.7647058823529411,-1578.26,1,0.01,127.51,1,0.0,0.0,0,-0.7547058823529411
2025-04-01,0.0,0.0,0,0.13,1304.38,1,0.0,0.0,0,0.13
2025-04-04,-0.7647058823529411,-1581.93,1,0.0,0.0,0,0.0,0.0,0,-0.7647058823529411
2025-04-08,0.0,0.0,0,0.0,0.0,0,-0.04666666666666667,-1310.41,1,-0.04666666666666667
2025-04-16,0.0,0.0,0,0.0,0.0,0,-0.006666666666666667,-294.05,1,-0.006666666666666667
2025-04-21,27.14705882352941,29435.26,1,0.0,0.0,0,0.16666666666666666,7026.18,1,27.313725490196077
2025-04-22,0.0,0.0,0,0.060000000000000005,779.65,2,0.0,0.0,0,0.060000000000000005
2025-04-28,0.0,0.0,0,0.0,0.0,0,-0.08666666666666667,-4688.19,1,-0.08666666666666667
2025-04-29,0.0,0.0,0,-0.32,-3555.19,1,0.0,0.0,0,-0.32
2025-05-02,0.0,0.0,0,-0.29,-3522.9,1,0.0,0.0,0,-0.29
2025-05-06,-1.0294117647058822,-1672.15,1,0.0,0.0,0,0.0,0.0,0,-1.0294117647058822
2025-05-08,-0.9411764705882353,-1665.52,1,0.0,0.0,0,0.0,0.0,0,-0.9411764705882353
2025-05-13,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,259.63,1,0.006666666666666667
2025-05-16,0.0,0.0,0,0.39,12152.67,2,0.0,0.0,0,0.39
2025-05-19,-1.0588235294117645,-1656.43,1,0.0,0.0,0,0.0,0.0,0,-1.0588235294117645
2025-05-21,0.0,0.0,0,0.0,0.0,0,0.21333333333333335,9280.97,1,0.21333333333333335
2025-05-22,-1.088235294117647,-1654.53,1,0.0,0.0,0,0.0,0.0,0,-1.088235294117647
2025-05-26,0.0,0.0,0,0.0,0.0,0,0.0,53.08,1,0.0
2025-05-27,0.0,0.0,0,0.16999999999999998,-334.03999999999996,2,0.0,0.0,0,0.16999999999999998
